canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active
Enlisted (Army),military,enlisted,"",army enlisted;enlisted army;us army enlisted;army soldier,experience_description;title,"",Enlisted service member in the U.S. Army.,true,true
Enlisted (Coast Guard),military,enlisted,"",coast guard enlisted;enlisted coast guard;uscg enlisted,experience_description;title,"",Enlisted service member in the U.S. Coast Guard.,true,true
Enlisted (Marines),military,enlisted,"",marine enlisted;enlisted marines;usmc enlisted;enlisted marine,experience_description;title,"",Enlisted service member in the U.S. Marine Corps.,true,true
Enlisted (Navy),military,enlisted,"",navy enlisted;enlisted navy;us navy enlisted;navy sailor,experience_description;title,"",Enlisted service member in the U.S. Navy.,true,true
Enlisted (Space Force),military,enlisted,"",space force enlisted;enlisted space force;ussf enlisted;guardian enlisted,experience_description;title,"",Enlisted service member in the U.S. Space Force.,true,true
Marine Corps PLC,military,rotc,tier_2,plc;platoon leaders class;marine corps plc,activities_honors;education_description;experience_description;title,https://www.marines.com/become-a-marine/officer/plc.html,USMC officer commissioning track,true,true
National Guard,military,reservist,"",national guard;army national guard;air national guard;arng;ang;guardsman,experience_description;title,"",Army or Air National Guard service member.,true,true
Navy ROTC,military,rotc,tier_2,navy rotc;nrotc,activities_honors;education_description;experience_description;title,https://www.netc.navy.mil/NSTC/NROTC,US Navy ROTC,true,true
Reservist (Air Force),military,reservist,"",air force reserve;air force reservist;usaf reserve;afrc,experience_description;title,"",U.S. Air Force Reserve service member.,true,true
Reservist (Army),military,reservist,"",army reserve;army reservist;us army reserve;usar,experience_description;title,"",U.S. Army Reserve service member.,true,true
Reservist (Coast Guard),military,reservist,"",coast guard reserve;coast guard reservist;uscg reserve,experience_description;title,"",U.S. Coast Guard Reserve service member.,true,true
Reservist (Marines),military,reservist,"",marine reserve;marine reservist;usmc reserve;marine corps reserve,experience_description;title,"",U.S. Marine Corps Reserve service member.,true,true
Reservist (Navy),military,reservist,"",navy reserve;navy reservist;us navy reserve;usnr,experience_description;title,"",U.S. Navy Reserve service member.,true,true
Reservist (Space Force),military,reservist,"",space force reserve;space force reservist;ussf reserve,experience_description;title,"",U.S. Space Force Reserve component service member.,true,true
US Air Force Combat Controllers,military,special_operations,special_operations,combat controller;cct;air force combat controller;combat control team,experience_description;title,"",USAF special operations terminal attack controllers and air traffic control.,true,true
US Air Force Pararescue (PJ),military,special_operations,special_operations,pararescue;pj;air force pararescue;pararescueman;that others may live,experience_description;title,"",USAF special operations combat search and rescue specialists.,true,true
US Air Force Special Tactics,military,special_operations,special_operations,special tactics;afsoc special tactics;sto;special tactics officer;special tactics squadron,experience_description;title,"","USAF Special Tactics — umbrella for PJ, CCT, TACP, and SR.",true,true
US Air Force Veteran,military,veteran,tier_2,usaf;air force veteran,title;company_name,https://www.airforce.com,Active or prior USAF service,true,true
US Army 75th Ranger Regiment,military,special_operations,special_operations,75th ranger regiment;army ranger;ranger regiment;ranger tab;ranger battalion;sua sponte,experience_description;title,"",U.S. Army's premier light infantry and direct-action raid force.,true,true
US Army Special Forces (Green Berets),military,special_operations,special_operations,green berets;special forces;army special forces;de oppresso liber;18x;sf tab;green beret,experience_description;title,"",U.S. Army Special Forces — unconventional warfare specialists.,true,true
US Army Veteran,military,veteran,tier_2,us army;army veteran;former us army,title;company_name,https://www.army.mil,Active or prior US Army service; tag for defense fit,true,true
US Coast Guard Veteran,military,veteran,tier_2,uscg;coast guard veteran,title;company_name,https://www.uscg.mil,Active or prior USCG service,true,true
US Marine Corps Force Reconnaissance,military,special_operations,special_operations,force recon;force reconnaissance;marine force recon;usmc force recon,experience_description;title,"",USMC deep reconnaissance and direct-action unit.,true,true
US Marine Corps MARSOC Raiders,military,special_operations,special_operations,marsoc;marine raiders;marsoc raider;marine special operations;critical skills operator,experience_description;title,"",USMC Special Operations Command — Marine Raiders.,true,true
US Marine Corps Veteran,military,veteran,tier_2,usmc;marine corps veteran;former marine,title;company_name,https://www.marines.mil,Active or prior USMC service,true,true
US Naval Special Warfare Development Group (DEVGRU),military,special_operations,special_operations,devgru;seal team 6;seal team six;nswdg;naval special warfare development group,experience_description;title,"",Tier 1 special operations unit (commonly known as SEAL Team 6).,true,true
US Navy SEAL Teams,military,special_operations,special_operations,navy seal;seal team;navy seals;buds graduate;seal trident;naval special warfare,experience_description;title,"","U.S. Navy Sea, Air, and Land Teams — maritime special operations.",true,true
US Navy SWCC,military,special_operations,special_operations,swcc;special warfare combatant-craft crewmen;special boat team;swcc operator,experience_description;title,"",U.S. Navy Special Warfare Combatant-craft Crewmen — maritime insertion specialists.,true,true
US Navy Veteran,military,veteran,tier_2,us navy;navy veteran;former us navy,title;company_name,https://www.navy.mil,Active or prior US Navy service,true,true
US Space Force,military,veteran,tier_2,us space force;ussf,title;company_name,https://www.spaceforce.mil,US Space Force service,true,true
Veteran (generic),military,"","",veteran;us military veteran;military veteran;former military,experience_description;title;headline,"",Generic catch-all for military service when specific branch/unit not identified. Low confidence.,true,true
