canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active,is_searchable
Battlebots Collegiate,competition,"","",battlebots;battle bots;combat robotics team;battlebots collegiate,education_description;projects,"",Collegiate combat robotics team competing in BattleBots-style events.,true,true,false
Biology Olympiad (generic),competition,"","",biology olympiad;olympiad in biology,activities_honors;education_description,"",Generic match for biology olympiad participation when specific competition not identified.,true,true,false
Botball,competition,"","",botball;botball competition;botball robotics,activities_honors;education_description,https://www.botball.org,Educational robotics competition using KIPR controllers.,true,true,false
BotsIQ,competition,"","",botsiq;bots iq;bots iq competition,activities_honors;education_description,"",Educational combat robotics program for high school students.,true,true,false
Broadcom MASTERS,competition,"","",broadcom masters;broadcom masters finalist;broadcom masters semifinalist,activities_honors;education_description,https://www.societyforscience.org/broadcom-masters/,Top middle school STEM competition — run by Society for Science.,true,true,false
Capture the Flag (Collegiate),competition,cyber,tier_3,ctf;capture the flag;defcon ctf;csaw ctf;collegiate ctf,activities_honors;education_description;experience_description,https://ctftime.org,Offensive security; PPP-style elite collegiate teams,true,true,false
CCDC,competition,"","",ccdc;collegiate cyber defense competition;nccdc;national ccdc,activities_honors;education_description,https://www.nationalccdc.org,National Collegiate Cyber Defense Competition — blue team defense exercise.,true,true,false
Chemistry Olympiad (generic),competition,"","",chemistry olympiad;olympiad in chemistry,activities_honors;education_description,"",Generic match for chemistry olympiad participation when specific competition not identified.,true,true,false
Codeforces Competition,competition,"","",codeforces;codeforces grandmaster;codeforces master;codeforces candidate master;codeforces international master;codeforces rated;cf rating,activities_honors;experience_description,https://codeforces.com,"Competitive programming platform. Real signal is rated rank (Grandmaster, International Master, etc.) not bare participation.",true,true,false
Collegiate Cyber Defense Competition,competition,cyber,tier_2,ccdc;collegiate cyber defense;national ccdc;cyber defense competition,activities_honors;education_description;experience_description;title;company_name,https://nationalccdc.org,Defensive cyber; defense pipeline,true,true,false
Combat Robotics (generic),competition,"","",combat robotics;battlebots competitor;fighting robot competition,activities_honors;experience_description;projects,"",Generic match for combat robotics participation.,true,true,false
Concrete Canoe,competition,"","",concrete canoe;asce concrete canoe;concrete canoe competition,education_description;projects;activities_honors,"",ASCE student competition to design and race a canoe made of concrete.,true,true,false
Cross Examination Debate Association (CEDA),competition,"","",ceda;cross examination debate;ceda nationals;ceda champion,activities_honors;education_description,"",Major collegiate policy debate organization and tournament.,true,true,false
CSAW CTF,competition,"","",csaw ctf;csaw;nyu csaw;csaw security,activities_honors;education_description;projects,"",NYU Tandon's annual cybersecurity awareness CTF.,true,true,false
CTF (generic),competition,"","",ctf;capture the flag;ctf competition,activities_honors;experience_description;projects,"",Generic match for CTF/capture-the-flag participation when specific event not identified.,true,true,false
CubeSat Team,competition,"","",cubesat;cubesat team;cube satellite;small satellite team;smallsat,education_description;projects,"",Collegiate teams designing and building CubeSat nanosatellites.,true,true,false
CyberPatriot,competition,"","",cyberpatriot;cyber patriot;air force cyberpatriot,activities_honors;education_description,https://www.uscyberpatriot.org,Air Force Association's national youth cybersecurity competition.,true,true,false
DARPA Grand Challenge,competition,"","",darpa grand challenge;darpa challenge;darpa autonomous vehicle challenge,activities_honors;experience_description;projects,"",DARPA's autonomous vehicle competition — launched the self-driving car industry.,true,true,false
DARPA Subterranean Challenge,competition,"","",darpa subt;darpa subterranean challenge;subt challenge,activities_honors;experience_description;projects,"",DARPA's challenge for autonomous underground exploration robots.,true,true,false
Davidson Fellows,competition,"","",davidson fellow;davidson fellows;davidson institute fellow,activities_honors;education_description,https://www.davidsongifted.org,$10K-$50K scholarship for students 18 and under with significant STEM/humanities projects.,true,true,false
DECA ICDC,competition,"","",deca;deca icdc;deca international;deca finalist;deca champion,activities_honors;education_description,https://www.deca.org,DECA International Career Development Conference — top signal for business students.,true,true,false
DEF CON CTF,competition,"","",def con ctf;defcon ctf;def con capture the flag,activities_honors;experience_description;projects,"","Premier hacking competition at DEF CON — the ""World Series"" of CTFs.",true,true,false
Diamond Challenge,competition,"","",diamond challenge;udel diamond challenge;horn entrepreneurship diamond challenge,activities_honors;education_description,https://www.diamondchallenge.org,University of Delaware's global entrepreneurship competition for high school students.,true,true,false
DOE CyberForce Competition,competition,"","",cyberforce;doe cyberforce;cyberforce competition,activities_honors;education_description,"",Department of Energy collegiate cybersecurity competition.,true,true,false
Drone Team (SUAS),competition,"","",suas;drone team;suas competition;auvsi suas;student uas,education_description;projects,"",AUVSI Student Unmanned Aerial Systems competition.,true,true,false
F1Tenth Autonomous Racing,competition,autonomous_racing,tier_2,f1tenth;f1/10;f1 tenth;f1tenth racing,activities_honors;education_description;experience_description,https://f1tenth.org,1/10 scale autonomous racing; UPenn-originated; accessible undergrad autonomy entry point,true,true,false
FBLA National Champion,competition,"","",fbla;fbla national;fbla champion;future business leaders of america,activities_honors;education_description,https://www.fbla.org,Future Business Leaders of America national competition champion.,true,true,false
FIRA RoboWorld Cup,competition,"","",fira roboworld cup;fira;fira robotics;roboworld cup,activities_honors;education_description;projects,"",International robot competition with multiple event categories.,true,true,false
FIRST Lego League,competition,"","",first lego league;fll;lego robotics;first lego,activities_honors;education_description,https://www.firstinspires.org/robotics/fll,FIRST's entry-level robotics competition using LEGO.,true,true,false
FIRST Robotics,competition,"","",first robotics;frc team;first frc;first robotics competition,education_description;projects;activities_honors,https://www.firstinspires.org,FIRST Robotics Competition — high school but frequently listed on college profiles.,true,true,false
FIRST Robotics Competition (FRC),competition,"","",frc;first robotics competition;first frc competition,activities_honors;education_description;projects,https://www.firstinspires.org/robotics/frc,Premier high school robotics competition (also listed on college profiles).,true,true,false
FIRST Tech Challenge (FTC),competition,"","",ftc;first tech challenge;first ftc,activities_honors;education_description;projects,https://www.firstinspires.org/robotics/ftc,FIRST's mid-level robotics competition.,true,true,false
Formula Electric,competition,"","",formula electric;formula sae electric;fse;electric formula,education_description;projects,"",Electric variant of Formula SAE/Formula Student.,true,true,false
Formula Hybrid,competition,"","",formula hybrid;hybrid formula;formula hybrid competition,education_description;projects,"",Hybrid-electric variant of Formula SAE.,true,true,false
Formula SAE,competition,"","",formula sae;fsae;formula sae team;sae formula,education_description;projects;activities_honors,https://www.fsaeonline.com,"Collegiate competition to design, build, and race a formula-style race car.",true,true,false
Formula Student,competition,"","",formula student;formula student team;fs team,education_description;projects,https://www.imeche.org/events/formula-student,International equivalent of Formula SAE.,true,true,false
Google Code Jam,competition,"","",google code jam;code jam;gcj;google codejam,activities_honors;experience_description,"","Google's annual global programming competition (discontinued 2023, alumni remain).",true,true,false
Google Science Fair,competition,"","",google science fair;gsf,activities_honors;education_description,"","Former global online science competition for teens (ended 2018, alumni remain).",true,true,false
Harvard-MIT Mathematics Tournament (HMMT),competition,"","",hmmt;harvard-mit math tournament;harvard mit math tournament,activities_honors;education_description,https://www.hmmt.org,Prestigious invitational math competition run by Harvard and MIT students.,true,true,false
Hult Prize,competition,"","",hult prize;hult prize finalist;hult prize winner,activities_honors;experience_description,https://www.hultprize.org,Global social entrepreneurship competition — $1M prize for social enterprises.,true,true,false
Human Powered Vehicle,competition,"","",human powered vehicle;hpv;asme hpvc;human powered vehicle challenge,education_description;projects,"",ASME competition to design human-powered vehicles.,true,true,false
Hyperloop Team,competition,"","",hyperloop;hyperloop team;hyperloop pod;hyperloop pod competition;spacex hyperloop,education_description;projects,"",Collegiate Hyperloop pod design and competition teams.,true,true,false
IEEE BEST Robotics,competition,"","",best robotics;ieee best;boosting engineering science and technology,activities_honors;education_description,"",IEEE-affiliated robotics competition for high school students.,true,true,false
iGEM,competition,"","",igem;international genetically engineered machine;igem team;synthetic biology team,education_description;projects,https://igem.org,International synthetic biology competition for student teams.,true,true,false
Indy Autonomous Challenge,competition,autonomous_racing,tier_3,indy autonomous challenge;iac;indy av,activities_honors;education_description;experience_description,https://indyautonomouschallenge.com,High-speed autonomous racing; heavily PhD/research-led; top AV pipeline,true,true,false
International Biology Olympiad (IBO),competition,"","",ibo;international biology olympiad;biology olympiad international,activities_honors;education_description,https://www.ibo-info.org,Annual international biology competition for high school students.,true,true,false
International Chemistry Olympiad (IChO),competition,"","",icho;international chemistry olympiad;chemistry olympiad international,activities_honors;education_description,https://www.icho.us,Annual international chemistry competition for high school students.,true,true,false
International Cybersecurity Challenge (ICC),competition,"","",icc;international cybersecurity challenge,activities_honors;education_description,"",International competition between national cybersecurity teams.,true,true,false
International Earth Science Olympiad (IESO),competition,"","",ieso;international earth science olympiad;earth science olympiad,activities_honors;education_description,"",Annual international earth science competition.,true,true,false
International Linguistics Olympiad (IOL),competition,"","",iol;international linguistics olympiad;linguistics olympiad,activities_honors;education_description,https://ioling.org,Annual international linguistics competition for high school students.,true,true,false
International Mathematical Olympiad (IMO),competition,"","",imo;international mathematical olympiad;international math olympiad;imo medalist,activities_honors;education_description,https://www.imo-official.org,Most prestigious pre-collegiate math competition worldwide. ~600 students from 100+ countries.,true,true,false
International Olympiad in Informatics (IOI),competition,"","",ioi;international olympiad in informatics;informatics olympiad,activities_honors;education_description,https://ioinformatics.org,Annual international programming competition for high school students.,true,true,false
International Olympiad on Astronomy and Astrophysics (IOAA),competition,"","",ioaa;international olympiad on astronomy;astronomy olympiad international,activities_honors;education_description,"",Annual international astronomy and astrophysics competition.,true,true,false
International Physics Olympiad (IPhO),competition,"","",ipho;international physics olympiad;physics olympiad international,activities_honors;education_description,https://www.ipho-new.org,Annual international physics competition for high school students from 80+ countries.,true,true,false
Junior Science and Humanities Symposium (JSHS),competition,"","",jshs;junior science and humanities symposium;junior science humanities,activities_honors;education_description,"",DoD-sponsored STEM research competition for high school students.,true,true,false
Kaggle Competition,competition,"","",kaggle;kaggle competition;kaggle grandmaster;kaggle master;kaggle gold medal;kaggle winner,activities_honors;experience_description;projects,https://www.kaggle.com,Data science/ML competition platform. Grandmaster/Master rank = strong signal.,true,true,false
L'Oréal Brandstorm,competition,"","",loreal brandstorm;l'oreal brandstorm;brandstorm;l'oréal brandstorm,activities_honors;education_description,"",L'Oréal's global innovation competition for university students.,true,true,false
LeetCode Weekly Contest,competition,"","",leetcode contest;leetcode weekly;leetcode biweekly;leetcode guardian;leetcode knight;leetcode top rated;leetcode ranking,activities_honors;experience_description,https://leetcode.com,"LeetCode competitive contests. Real signal is rated rank (Guardian, Knight, top X%) not bare participation.",true,true,false
Mars Rover Team,competition,"","",mars rover;university rover challenge;urc;mars rover team;rover team,education_description;projects,"",Collegiate teams building Mars rover prototypes for University Rover Challenge.,true,true,false
Maryland Cyber Challenge,competition,"","",maryland cyber challenge;md cyber challenge,activities_honors;education_description,"",Annual cybersecurity competition hosted by the state of Maryland.,true,true,false
Math Olympiad (generic),competition,"","",math olympiad;olympiad in mathematics;mathematics olympiad,activities_honors;education_description,"",Generic match for math olympiad participation when specific competition not identified.,true,true,false
Math Prize for Girls,competition,"","",math prize for girls;mathprizeforgirls,activities_honors;education_description,https://mathprizeforgirls.org,Largest math competition for female-identifying students in the U.S.,true,true,false
Mathcounts,competition,"","",mathcounts;math counts;mathcounts national;mathcounts state,activities_honors;education_description,https://www.mathcounts.org,National middle school math competition. Nationals = top signal.,true,true,false
Meta Hacker Cup,competition,"","",meta hacker cup;facebook hacker cup;hacker cup,activities_honors;experience_description,"",Meta's annual programming competition.,true,true,false
MITRE CTF,competition,"","",mitre ctf;mitre ctf competition,activities_honors;education_description,"",MITRE's cybersecurity CTF competition.,true,true,false
MITRE eCTF,competition,"","",mitre ectf;embedded ctf;mitre embedded ctf,activities_honors;education_description,"",MITRE's embedded systems security CTF — hardware-focused.,true,true,false
Model UN Distinguished Delegate,competition,"","",model un delegate;model united nations award;mun best delegate;mun outstanding delegate;mun distinguished delegate,activities_honors;education_description,"",Best/Outstanding/Distinguished Delegate award at a Model UN conference.,true,true,false
NASA Human Exploration Rover Challenge,competition,"","",nasa rover challenge;human exploration rover challenge;great moonbuggy race,activities_honors;education_description;projects,"",NASA competition to design and build human-powered rovers.,true,true,false
NASA Lunabotics,competition,robotics,tier_2,lunabotics;nasa lunabotics;lunabotics challenge,activities_honors;education_description;experience_description,https://nasa.gov/lunabotics,Robotic mining; lunar regolith analog,true,true,false
NASA RASC-AL,competition,"","",nasa rasc-al;rasc-al;revolutionary aerospace systems concepts,activities_honors;education_description;projects,"",NASA competition for advanced space architecture and mission concepts.,true,true,false
NASA Student Launch,competition,"","",nasa student launch;nasa slp;student launch initiative;nasa student launch initiative,education_description;projects,"","NASA program for students to design, build, and launch high-powered rockets.",true,true,false
National Academic Quiz Tournaments (NAQT),competition,"","",naqt;academic quiz;quizbowl national;quiz bowl;naqt national;hsnct;acf nationals,activities_honors;education_description,https://www.naqt.com,National quizbowl organization — HSNCT is the premier high school tournament.,true,true,false
National Cyber League (NCL),competition,"","",national cyber league;ncl;ncl cybersecurity,activities_honors;education_description,https://nationalcyberleague.org,Biannual collegiate cybersecurity competition with individual and team rounds.,true,true,false
National Debate Tournament (NDT),competition,"","",ndt;national debate tournament;ndt champion;ndt finalist,activities_honors;education_description,"",Premier collegiate policy debate tournament.,true,true,false
NCAE Cyber Games,competition,"","",ncae cyber games;ncae;national centers of academic excellence cyber games,activities_honors;education_description,"",NSA/CISA-sponsored cybersecurity games for CAE-designated institutions.,true,true,false
North American Computational Linguistics Open (NACLO),competition,"","",naclo;north american computational linguistics;naclo linguistics,activities_honors;education_description,https://naclo.org,North American qualifier for the International Linguistics Olympiad.,true,true,false
NSA Codebreaker Challenge,competition,"","",nsa codebreaker;nsa codebreaker challenge;codebreaker challenge,activities_honors;education_description,"",NSA's annual reverse engineering and cryptanalysis challenge for students.,true,true,false
NSDA National Champion,competition,"","",nsda national;nsda national champion;nsda finalist;national speech and debate;national forensics league;nfl nationals,activities_honors;education_description,https://www.speechanddebate.org,National Speech and Debate Association national tournament champion or finalist.,true,true,false
Physics Bowl,competition,"","",physics bowl;aapt physics bowl,activities_honors;education_description,"",AAPT nationwide physics competition for high school students.,true,true,false
Physics Olympiad (generic),competition,"","",physics olympiad;olympiad in physics,activities_honors;education_description,"",Generic match for physics olympiad participation when specific competition not identified.,true,true,false
picoCTF,competition,"","",picoctf;pico ctf;carnegie mellon picoctf,activities_honors;education_description;projects,https://picoctf.org,CMU-run beginner-to-intermediate CTF for students.,true,true,false
PlaidCTF,competition,"","",plaidctf;plaid ctf;cmu plaid ctf,activities_honors;experience_description;projects,"",CTF run by CMU's Plaid Parliament of Pwning team — top-tier difficulty.,true,true,false
Princeton Physics Competition,competition,"","",princeton physics competition;ppc,activities_honors;education_description,"",Princeton's annual physics competition for high school teams.,true,true,false
Princeton University Mathematics Competition (PUMaC),competition,"","",pumac;princeton math competition;princeton university mathematics competition,activities_honors;education_description,"",Princeton's annual math competition for high school students.,true,true,false
Pwn2Own,competition,"","",pwn2own;pwn to own;pwn2own winner,activities_honors;experience_description,"",Elite vulnerability discovery competition run by Trend Micro's ZDI.,true,true,false
Regeneron ISEF,competition,"","",regeneron isef;isef;international science and engineering fair;intel isef;science fair isef,activities_honors;education_description,https://www.societyforscience.org/isef/,"World's largest pre-college science competition — ~1,800 finalists from 80+ countries.",true,true,false
Regeneron Science Talent Search,competition,"","",regeneron sts;science talent search;sts;intel sts;westinghouse sts;regeneron science talent search,activities_honors;education_description,https://www.societyforscience.org/regeneron-sts/,Most prestigious pre-college science competition in the U.S. Top 40 finalists = elite signal.,true,true,false
RoboBoat,competition,"","",roboboat;robo boat;auvsi roboboat;autonomous surface vehicle,education_description;projects,"",AUVSI competition for autonomous surface vehicles.,true,true,false
RoboCup,competition,robotics,tier_2,robocup;robo cup;robocup federation,activities_honors;education_description;experience_description,https://robocup.org,Heavily research/grad; multiple sub-leagues (humanoid; soccer; @home),true,true,false
RoboSub,competition,"","",robosub;robo sub;auvsi robosub;autonomous underwater vehicle,education_description;projects,"",AUVSI competition for autonomous underwater vehicles.,true,true,false
Robotics Competition (generic),competition,"","",robotics competition;robotics contest,activities_honors;education_description;projects,"",Generic match for robotics competition participation when specific event not identified.,true,true,false
Rocket Team,competition,"","",rocket team;rocketry team;rocketry club;spaceport america cup,education_description;projects,"",Collegiate rocketry team competing in events like Spaceport America Cup.,true,true,false
SAE Aero Design,competition,aerospace,tier_2,sae aero;sae aero design;aero design east;aero design west,activities_honors;education_description;experience_description,https://saeaerodesign.com,RC fixed-wing build; East and West venues,true,true,false
Siemens Competition,competition,"","",siemens competition;siemens science competition;siemens foundation competition,activities_honors;education_description,"","Former STEM research competition for high school students (ended 2017, alumni remain).",true,true,false
Solar Car Team,competition,"","",solar car;solar car team;solar vehicle team;american solar challenge;world solar challenge,education_description;projects,"",Collegiate teams designing and racing solar-powered vehicles.,true,true,false
Spaceport America Cup (IREC),competition,rocketry,tier_3,irec;spaceport america cup;spaceport america;esra cup,activities_honors;education_description;experience_description,https://soundingrocket.org,Highest-altitude collegiate rocketry; SRAD categories; top SpaceX pipeline,true,true,false
Stanford Math Tournament,competition,"","",stanford math tournament;smt;stanford math tournament smt,activities_honors;education_description,"",Stanford's annual math competition for high school students.,true,true,false
Steel Bridge,competition,"","",steel bridge;asce steel bridge;steel bridge competition,education_description;projects;activities_honors,"",ASCE student competition to design and build a steel bridge.,true,true,false
TJCTF,competition,"","",tjctf;tj ctf;thomas jefferson ctf,activities_honors;education_description,"",CTF run by Thomas Jefferson High School for Science and Technology.,true,true,false
Topcoder Open,competition,"","",topcoder;topcoder open;tco;topcoder srm,activities_honors;experience_description,https://www.topcoder.com,Programming competition platform — Topcoder Open is the annual championship.,true,true,false
US Cyber Combine,competition,"","",us cyber combine;cyber combine,activities_honors;education_description,"",Skills assessment phase of the U.S. Cyber Games selection process.,true,true,false
US Cyber Open,competition,"","",us cyber open;cyber open,activities_honors;education_description,"",Open cybersecurity competition as part of the U.S. Cyber Games pipeline.,true,true,false
US Cyber Team,competition,"","",us cyber team;team usa cyber;us cyber games team,activities_honors;education_description,"",National team representing the U.S. in the International Cybersecurity Challenge.,true,true,false
US National Chemistry Olympiad (USNCO),competition,"","",usnco;us national chemistry olympiad;national chemistry olympiad;acs chemistry olympiad,activities_honors;education_description,"",ACS-run national chemistry competition — top performers go to IChO.,true,true,false
US Physics Olympiad (USAPhO),competition,"","",usapho;us physics olympiad;usa physics olympiad;physics team usa,activities_honors;education_description,"",National physics competition — top performers represent the U.S. at IPhO.,true,true,false
USA Astronomy and Astrophysics Olympiad (USAAAO),competition,"","",usaaao;usa astronomy olympiad;us astronomy olympiad,activities_honors;education_description,"",U.S. national astronomy competition — qualifiers represent at IOAA.,true,true,false
USA Biology Olympiad (USABO),competition,"","",usabo;usa biology olympiad;us biology olympiad;biology olympiad usa,activities_honors;education_description,"",National biology competition — top performers represent the U.S. at IBO.,true,true,false
USA Computing Olympiad (USACO),competition,"","",usaco;usa computing olympiad;usaco platinum;usaco gold;usaco silver,activities_honors;education_description,https://usaco.org,Premier U.S. pre-collegiate programming competition. Platinum division = top signal.,true,true,false
USA Earth Science Olympiad,competition,"","",usa earth science olympiad;us earth science olympiad;earth science olympiad usa,activities_honors;education_description,"",U.S. national earth science competition.,true,true,false
USA Junior Mathematical Olympiad (USAJMO),competition,"","",usajmo;usa junior mathematical olympiad;junior math olympiad,activities_honors;education_description,"",Junior version of USAMO for students qualifying through AMC 10/AIME.,true,true,false
USA Mathematical Olympiad (USAMO),competition,"","",usamo;usa mathematical olympiad;us math olympiad;usamo qualifier,activities_honors;education_description,"",Top ~250 students in the U.S. qualifying through AMC/AIME.,true,true,false
VEX Robotics,competition,"","",vex robotics;vex;vex competition;vex robotics competition,education_description;projects;activities_honors,https://www.vexrobotics.com,VEX Robotics Competition — high school/collegiate robotics.,true,true,false
VEX Robotics World Championship,competition,"","",vex worlds;vex world championship;vex robotics worlds;vex robotics world championship,activities_honors;education_description;projects,https://www.roboticseducation.org,World championship of VEX Robotics Competition.,true,true,false
VEX U,competition,robotics,tier_1,vex u;vexu;vex university;vex robotics u,activities_honors;education_description;experience_description,https://roboticseducation.org,Collegiate VEX robotics; distinct from high-school VEX Robotics. Lower signal than other robotics competitions.,true,true,false
VFS Student Design Competition,competition,aerospace_rotorcraft,tier_2,vfs design;vfs student design;vertical flight society design;vfs sdc,activities_honors;education_description;experience_description,https://vtol.org,Vertical Flight Society annual rotorcraft / eVTOL design; Joby/Archer pipeline,true,true,false
William Lowell Putnam Mathematical Competition,competition,"","",putnam;putnam competition;putnam exam;putnam fellow;putnam math competition,activities_honors;education_description,"",Premier undergraduate math competition in North America. Putnam Fellow = top 5.,true,true,false
World Robot Olympiad,competition,"","",world robot olympiad;wro;robot olympiad,activities_honors;education_description,https://wro-association.org,International robotics competition for students.,true,true,false
