canonical_name,category,subcategory,tier_group,aliases,source_field_hints,canonical_url,description,is_positive,is_active,is_searchable
DOE CSGF,fellowship,research_phd,tier_1,doe csgf;computational science graduate fellowship;doe fellow,activities_honors;experience_description;education_description,https://krellinst.org/csgf,DOE Computational Science Graduate Fellowship,true,true,true
Echoing Green Fellowship,fellowship,"","",echoing green;echoing green fellow;echoing green fellowship,activities_honors;experience_description,https://echoinggreen.org,Fellowship and seed funding for social entrepreneurs.,true,true,true
Emergent Ventures,fellowship,founder_track,tier_2,emergent ventures;ev fellow;tyler cowen emergent ventures;mercatus emergent ventures,activities_honors;experience_description;education_description,https://mercatus.org/emergent-ventures,Tyler Cowen's grant program for ambitious early-career projects,true,true,true
Flatiron Institute,fellowship,research_phd,tier_2,flatiron institute;flatiron fellow;simons foundation flatiron,activities_honors;experience_description;education_description,https://simonsfoundation.org/flatiron,Simons Foundation's computational science research fellowship,true,true,true
Ford Foundation Fellowship,fellowship,"","",ford foundation fellowship;ford fellow;ford foundation fellow;ford dissertation fellowship,activities_honors;education_description,https://sites.nationalacademies.org/PGA/FordFellowships/,Fellowship promoting diversity in academia for PhD students and postdocs.,true,true,true
Fulbright U.S. Scholar Program,fellowship,"","",fulbright scholar program;fulbright us scholar;fulbright senior scholar,activities_honors;experience_description,https://www.cies.org,U.S. government program for international educational exchange — faculty/professional grants.,true,true,true
Fulbright U.S. Student Program,fellowship,"","",fulbright;fulbright scholar;fulbright student;fulbright us student;fulbright grant;fulbright fellowship;fulbright award,activities_honors;education_description;experience_description,https://us.fulbrightonline.org,U.S. government program for international educational exchange — student grants.,true,true,true
Google AI Residency,fellowship,ai_residency,tier_2,google ai residency;google brain residency;google research residency,activities_honors;experience_description;education_description,https://research.google/careers/ai-residency,Google's AI research residency program (one-year),true,true,true
Greylock Edge,fellowship,founder_track,tier_3,greylock edge;greylock fellows;greylock fellowship,activities_honors;experience_description;education_description,https://greylock.com,Greylock's emerging founder/operator program,true,true,true
Hertz Fellowship,fellowship,research_phd,tier_3,hertz;hertz fellow;fannie and john hertz;hertz foundation,activities_honors;experience_description;education_description,https://hertzfoundation.org,Top deep-tech PhD fellowship in applied physical sciences; ~15 awarded annually,true,true,true
HHMI,fellowship,research_phd,tier_3,hhmi;hhmi investigator;howard hughes medical institute;hhmi fellow,activities_honors;experience_description;education_description,https://hhmi.org,Howard Hughes Medical Institute investigator/fellow program; elite biomedical research,true,true,true
Interact Fellowship,fellowship,founder_track,tier_2,interact;interact fellow;interact fellowship;interact tech,activities_honors;experience_description;education_description,https://joininteract.com,Selective community of mission-driven young tech leaders,true,true,true
Kauffman Fellows,fellowship,"","",kauffman fellows;kauffman fellow;kauffman fellowship;kauffman fellows program,activities_honors;experience_description,https://www.kauffmanfellows.org,Two-year fellowship for emerging venture capital leaders.,true,true,true
Kleiner Perkins Fellows,fellowship,operator_track,tier_3,kp fellows;kpf;kleiner perkins fellow;kleiner perkins fellowship;kp fellow,activities_honors;experience_description;education_description,https://fellows.kleinerperkins.com,KP-sponsored summer engineering/design/PM fellowship at portfolio companies,true,true,true
MacArthur Fellowship,fellowship,"","",macarthur fellowship;macarthur fellow;macarthur genius grant;genius grant;macarthur foundation fellowship,activities_honors;experience_description;headline,https://www.macfound.org/programs/fellows/,"Unrestricted $800K grant for exceptionally creative individuals (the ""Genius Grant"").",true,true,true
Meta FAIR Residency,fellowship,ai_residency,tier_2,meta fair residency;fair residency;meta ai residency;facebook ai residency,activities_honors;experience_description;education_description,https://ai.meta.com,Meta FAIR's AI research residency program,true,true,true
Microsoft AI Residency,fellowship,ai_residency,tier_2,microsoft ai residency;microsoft research ai resident,activities_honors;experience_description;education_description,https://microsoft.com/research/academic-program/ai-residency-program,Microsoft Research AI residency program,true,true,true
NDSEG Fellowship,fellowship,research_phd,tier_3,ndseg;national defense science and engineering graduate;ndseg fellow,activities_honors;experience_description;education_description,https://ndseg.org,DoD STEM PhD fellowship; defense-relevant research,true,true,true
Neo Scholars,fellowship,founder_track,tier_3,neo scholar;neo scholars;neo fellowship;neo accelerator,activities_honors;experience_description;education_description,https://neo.com,Ali Partovi's program for elite undergraduate engineers; founder + engineer track,true,true,true
NSF GRFP,fellowship,research_phd,tier_1,nsf grfp;nsf graduate research fellowship;nsf fellow,activities_honors;experience_description;education_description,https://nsfgrfp.org,NSF's graduate research fellowship; broad STEM PhD funding,true,true,true
Nvidia Graduate Fellowship,fellowship,research_phd,tier_2,nvidia graduate fellowship;nvidia grad fellow;nvidia phd fellowship,activities_honors;experience_description;education_description,https://nvidia.com/research/graduate-fellowship,Small elite ML/systems PhD fellowship sponsored by Nvidia,true,true,true
On Deck Fellowship,fellowship,"","",on deck;on deck fellowship;on deck fellow;odf,activities_honors;experience_description,https://www.beondeck.com,"Community-based fellowship for founders, angels, and operators.",true,true,true
On Deck Founder Fellowship,fellowship,"","",on deck founder fellowship;on deck founders;odf founder,activities_honors;experience_description,https://www.beondeck.com,On Deck's founder-specific fellowship cohort.,true,true,true
OpenAI Residency,fellowship,ai_residency,tier_3,openai resident;openai research residency;openai residency program,activities_honors;experience_description;education_description,https://openai.com/residency,OpenAI's research residency program; selective AI research path,true,true,true
Pickering Fellowship,fellowship,"","",pickering fellowship;pickering fellow;thomas r pickering;pickering foreign affairs,activities_honors;education_description,https://www.twc.edu/programs/pickering-fellowship,State Department graduate fellowship for future Foreign Service Officers.,true,true,true
Rangel Fellowship,fellowship,"","",rangel fellowship;rangel fellow;charles b rangel;rangel international affairs,activities_honors;education_description,https://www.twc.edu/programs/rangel-fellowship,State Department graduate fellowship promoting diversity in the Foreign Service.,true,true,true
Schmidt Futures,fellowship,research_phd,tier_2,schmidt futures;schmidt science fellows;schmidt futures fellow,activities_honors;experience_description;education_description,https://schmidtfutures.com,Eric Schmidt's research and talent program,true,true,true
Sigma Squared,fellowship,founder_track,tier_1,sigma squared;sigma squared society;s2;s squared,activities_honors;experience_description;education_description,https://sigmasquared.org,Young entrepreneur society fellowship,true,true,true
Soros Fellowship,fellowship,academic_scholar,tier_2,soros fellowship;paul and daisy soros;new americans fellowship;pd soros,activities_honors;experience_description;education_description,https://pdsoros.org,Paul & Daisy Soros Fellowship for New Americans (graduate),true,true,true
South Park Commons Founder Fellowship,fellowship,"","",south park commons;spc;spc fellowship;south park commons fellow;spc founder fellowship,activities_honors;experience_description,https://www.southparkcommons.com,Community and fellowship for builders exploring their next company.,true,true,true
TED Fellow,fellowship,"","",ted fellow;ted fellowship;ted fellows program,activities_honors;experience_description;headline,https://www.ted.com/participate/ted-fellows-program,TED's fellowship for emerging leaders with bold ideas.,true,true,true
Thiel Fellowship,fellowship,founder_track,tier_3,thiel fellowship;thiel fellow;20 under 20 thiel;20 under 20;thiel foundation fellowship,activities_honors;experience_description;education_description,https://thielfellowship.org,Peter Thiel's $100K fellowship for young entrepreneurs who skip or leave college to build,true,true,true
X (Alphabet),fellowship,research_phd,tier_2,x company;x alphabet;x moonshot;google x;alphabet x,activities_honors;experience_description;education_description,https://x.company,Alphabet's moonshot factory; high-signal R&D program,true,true,true
Z Fellows,fellowship,founder_track,tier_1,z fellows;z fellowship;cory levy z fellows,activities_honors;experience_description;education_description,https://zfellows.com,Cory Levy's $10K weekend fellowship for young founders,true,true,true
